,R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAPE(Validation),Target,Algorithm
0,0.3013112400711187,-0.2060213797143892,4.517490675122685,4.825962591558214,0.2736561658519894,-1.0557182608767999,3.6645653858884515,3.9056108274115076,11.208366356449144,Agreeableness,Random Forest
1,0.4683498440810062,-0.15095620416265493,4.140895243390119,4.466121684504537,0.20095438665070373,-0.9618571661863435,3.2388378408321428,3.5842979527656547,9.607055144662677,Conscientiousness,Random Forest
2,0.6280096065469165,-0.40194620516547047,4.095929134821247,4.305461834973991,0.49428755050605294,-1.389681031532052,3.081370999609703,3.2165702791329016,11.300193935843417,Extraversion,Random Forest
3,0.31887239654783556,-0.3114354377220121,4.8320724942766295,5.173919802521935,0.49973825490613183,-1.2354013142988842,3.5463900204938525,3.8350913884736464,11.355632566380843,Openness,Random Forest
4,0.5219165697531608,-0.10030656886046477,6.5923909182721205,6.994233489704033,0.1714551395068941,-0.8755225605576102,5.331077743661537,5.608554534431324,27.286821940512574,Neuroticism,Random Forest
0,0.33035000773690265,-0.2511560978890313,4.422231419635985,4.888636298299662,0.3166444817127102,-1.132652439583576,3.1837046496836043,3.735400138285559,9.856029260842309,Agreeableness,SVM
1,0.49784528060414734,-0.408791796194585,4.023026943603978,4.872936979858255,0.45514421095371915,-1.4013496526044062,2.7621168081720047,3.8381741721160987,8.800234699985685,Conscientiousness,SVM
2,0.8220591287719528,-0.9294059388588387,2.836168131852877,4.5245574169549965,0.7262580136835544,-2.2887601230548387,2.0193245383395246,3.5627280758567874,7.872214534601047,Extraversion,SVM
3,0.2574542448306544,-0.2392638095149621,5.052359278774266,5.315052756023157,0.39504336055758543,-1.1123814934914127,3.692690812657888,3.9412340447203853,12.545189340162432,Openness,SVM
4,0.5645337416742262,-0.38263448287849566,6.2879846271301485,7.563485424856856,0.3987732651138823,-1.356763323088345,4.8929084783168575,6.262096439155951,27.05152333756149,Neuroticism,SVM
