,R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAPE(Validation),Target,Algorithm
0,0.2936265134995979,-0.24073015628457348,4.5419359760890705,4.87272808246498,0.39014440562606995,-1.0678835938076223,3.7026540911683847,3.931400312846387,11.258203610066202,Agreeableness,Random Forest
1,0.43737550223904964,-0.16003505804688412,4.257379805652722,4.442216336962253,0.2275791736434971,-0.9333917634114737,3.3588026169280125,3.5073555795519,10.094862846483128,Conscientiousness,Random Forest
2,0.6557842545016143,-0.3762112519110506,3.946252416810326,4.27535170479468,0.5027515228199064,-1.2936854198517511,2.8840108635473887,3.158100533829766,10.856223714679086,Extraversion,Random Forest
3,0.32050854169920096,-0.3168837728710741,4.826554856211344,5.184973468484337,0.48183404690232795,-1.194806288118457,3.5156386433473563,3.8169590657716346,11.112221669826816,Openness,Random Forest
4,0.49548639577211046,-0.10290195536510287,6.761888675841255,6.9584834581938395,0.1775665806461638,-0.8381699256085051,5.465414590845068,5.603710656935573,27.371180423111213,Neuroticism,Random Forest
0,0.3945247309278478,-0.22778005343753197,4.205771008421728,4.860079822326343,0.29507191485367107,-1.0463000890625533,2.9318216576951124,3.7363301033586866,9.108461890779342,Agreeableness,SVM
1,0.5266363653159438,-0.37793879882773973,3.904577831182507,4.742608978426519,0.4170769135081527,-1.2965646647128994,2.727305767299734,3.7535839936264077,8.585605757730852,Conscientiousness,SVM
2,0.6998541028159331,-0.9693225342563769,3.6773887026732694,4.393051365455729,1.1544457997121698,-2.2822042237606284,2.5042950354762925,3.371788619209221,9.380721447258281,Extraversion,SVM
3,0.36165115446951746,-0.20987247262804312,4.682495069728888,5.190761253592391,0.3976119872625624,-1.0164541210467388,3.3945762655467524,3.879500403996581,11.28536957904076,Openness,SVM
4,0.5496026040298331,-0.38045296922998995,6.397614175401006,7.491679905388566,0.5278302770734971,-1.30075494871665,4.84336094238242,6.095218779724102,27.34485086160753,Neuroticism,SVM
0,0.5717711809435193,-1.6367309544276059,3.5362287806017965,6.831323060477733,1.3942776611607886,-3.394551590712676,2.813403917262108,5.244129909731681,8.593962428692729,Agreeableness,Linear Regression SGD
1,0.4389428233244329,-6.894605679612353,4.23678037206165,8.587680982427647,13.447261807380725,-12.157676132687255,3.2546361800116586,6.397498045011552,9.691605094635474,Conscientiousness,Linear Regression SGD
2,0.7840480859968281,-4.510899038078196,3.114306205700409,6.407657460955477,5.171534804088822,-8.184831730130327,2.450049842309126,4.936892429502547,8.555819196922602,Extraversion,Linear Regression SGD
3,0.4469406452008755,-4.206951827744708,4.378075159390866,6.013984536356591,8.521791170657728,-7.6782530462411795,3.4415075494241507,4.865693921502503,10.662341387379817,Openness,Linear Regression SGD
4,0.6114763986536651,-1.7198874172958283,5.953969492782058,9.542442598212881,2.0238884154584946,-3.5331456954930474,4.777596678813101,7.637038449118077,23.716233185227047,Neuroticism,Linear Regression SGD
